# These are ids of blocks that required advanced icon rendering.
1	0
2	0
3	0
3	1
3	2
4	0
5	0
5	1
5	2
5	3
5	4
5	5
7	0
12	0
12	1
13	0
14	0
15	0
16	0
17	0
17	1
17	2
17	3
18	0
18	1
18	2
18	3
19	0
20	0
21	0
22	0
23	0
24	0
24	1
24	2
25	0
29	0
33	0
35	0
35	1
35	2
35	3
35	4
35	5
35	6
35	7
35	8
35	9
35	10
35	11
35	12
35	13
35	14
35	15
41	0
42	0
43	0
43	1
43	2
43	3
43	4
43	5
43	6
43	7
43	8
43	9
44	0
44	1
44	2
44	3
44	4
44	5
44	6
44	7
45	0
46	0
47	0
48	0
49	0
52	0
53	0
54	0
56	0
57	0
58	0
60	0
61	0
62	0
67	0
70	0
72	0
73	0
77	0
78	0
79	0
80	0
81	0
82	0
84	0
85	0
86	0
87	0
88	0
89	0
91	0
95	0
95	1
95	2
95	3
95	4
95	5
95	6
95	7
95	8
95	9
95	10
95	11
95	12
95	13
95	14
95	15
96	0
97	0
97	1
97	2
97	3
97	4
97	5
98	0
98	1
98	2
98	3
99	0
100	0
103	0
107	0
108	0
109	0
110	0
112	0
113	0
114	0
116	0
120	0
121	0
122	0
123	0
125	0
125	1
125	2
125	3
125	4
125	5
126	0
126	1
126	2
126	3
126	4
126	5
128	0
129	0
130	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
139	1
143	0
145	0
145	1
145	2
146	0
147	0
148	0
151	0
152	0
153	0
155	0
155	1
155	2
155	3
155	4
156	0
158	0
159	0
159	1
159	2
159	3
159	4
159	5
159	6
159	7
159	8
159	9
159	10
159	11
159	12
159	13
159	14
159	15
161	0
161	1
162	0
162	1
163	0
164	0
170	0
171	0
171	1
171	2
171	3
171	4
171	5
171	6
171	7
171	8
171	9
171	10
171	11
171	12
171	13
171	14
171	15
172	0
173	0
174	0
